OBJECTID,SPECIES_CO,SPECIES_BO,WATERGAS,GSLENGTH,GSWIDTH,ADDRESS,STREET,SUFFIX,SIDE,SITE,ONSTR,FROMSTR,TOSTR,X,Y,LATITUDE,LONGITUDE,GlobalID,SiteUsage,Quadrant,MgmtDesignation,x2,y2
6084,"Maple, Red",Acer rubrum,Yes,0,0,432,E CHESTNUT ST, ,Front,0,E CHESTNUT ST, , ,2375375.145,261521.7934,40.04204543,-76.2967406,1465a546-25cf-4972-b831-94d9a55daba2,Tree,NEQ,Street,-76.2967406,40.04204543
5918,Apple,Malus species,No,0,0,246,E ORANGE ST, ,Side,0,N SHIPPEN ST, , ,2374595.595,260688.3884,40.03979313,-76.29957335,7c88f136-8377-4fab-a255-4bec4f9e9699,Tree,NEQ,Street,-76.29957335,40.03979313
8076,"Maple, Red",Acer rubrum,No,0,0,135,N LIME ST, ,Rear,0,N SHIPPEN ST, , ,2374515.252,261181.2668,40.04114958,-76.29983135,561f53ec-017f-41e1-a133-517fac8fd9d0,Tree,NEQ,Street,-76.29983135,40.04114958
5869,"Basswood, American",Tilia americana,No,0,0,141,E ORANGE ST, ,Front,0,E ORANGE ST, , ,2373840.183,260746.8496,40.03998762,-76.3022675,a2fff54f-d710-4d38-98c7-84c42f50c86a,Tree,NEQ,Street,-76.3022675,40.03998761
10234,"Dogwood, Kousa",Cornus kousa,No,0,0,449,N MULBERRY ST, ,Side,0,N WATER ST, , ,2371559.992,262342.7501,40.04447029,-76.31031718,89df6a07-0f95-449b-a521-6141f554127b,Tree,NWQ,Park,-76.31031718,40.04447029
6035,"Hophornbeam, Eastern",Ostrya virginiana,No,0,0,440,W LEMON ST, ,Front,0,W LEMON ST, , ,2370226.802,261941.3778,40.04342818,-76.31510163,3b642f34-3a82-46da-98d2-68580252793c,Tree,NWQ,Street,-76.31510163,40.04342818
5586,Katsura Tree,Cercidiphyllum japonicum,Yes,0,0,334,W LEMON ST, ,Front,0,W LEMON ST, , ,2370810.667,262020.7147,40.04361988,-76.31301193,5c1eaf9f-964b-49cc-8ea1-5eabdc0d6b45,Tree,NWQ,Street,-76.31301193,40.04361988
7031,Vacant site unsuitable,Vacant site unsuitable,No,4,2,551,ST JOSEPH ST, ,Side,0,NEW DORWART ST, , ,2370838.551,258220.871,40.033189,-76.31313315,22322f5d-d80b-472a-b1fa-555bce39a227,Vacant,SWQ,Street,-76.31313315,40.033189
1080,"Zelkova, Japanese",Zelkova serrata,No,0,0,601,S DUKE ST, ,Front,0,S DUKE ST, , ,2375400.769,257605.7008,40.0312956,-76.29687923,78a0fcd6-f186-481e-90e9-407530a56803,Tree,SEQ,Street,-76.29687923,40.0312956
84,Goldenrain Tree,Koelreuteria paniculata,No,0,0,455,S DUKE ST, ,Side,0,NORTH ST, , ,2374429.634,258704.8844,40.03435639,-76.30028228,18331ce1-8236-4bb6-9cbb-75c9c8b01c0d,Tree,SEQ,Street,-76.30028228,40.03435639
416,"Maple, Red",Acer rubrum,No,0,0,506,S SHIPPEN ST, ,Front,0,S SHIPPEN ST, , ,2375452.454,259527.9418,40.03656933,-76.29658172,fddb6627-130e-4261-a490-94879c3a38f2,Tree,SEQ,Street,-76.29658172,40.03656933
3213,"Maple, Red",Acer rubrum,Yes,0,0,123,N MARY ST, ,Side,0,W MARION ST, , ,2370278.592,260452.2208,40.0393385,-76.3150031,dfe65101-4646-4552-a738-8c5442e7ee8f,Tree,NWQ,Street,-76.3150031,40.0393385
1578,"Linden, Littleleaf",Tilia cordata,No,0,0,43,E KING ST,X,Front,0,E KING ST, , ,2373422.149,260097.4917,40.03822409,-76.30379829,6dfde972-2456-493c-a6b7-1fe53dacf7a9,Tree,NEQ,Street,-76.30379828,40.03822409
2148,Stump,Stump, ,0,0,1251,UNION ST, ,Front,0,UNION ST, , ,2368945.743,254441.2205,40.02289911,-76.32011027,94518f5e-148f-479e-bdfb-c64dc2832c33,Stump,SWQ,Street,-76.32011027,40.02289911
2809,"Maple, Silver",Acer saccharinum,No,0,0,437,HERSHEY AVE, ,Front,0,HERSHEY AVE, , ,2369869.572,255119.7895,40.02472051,-76.31677277,df2ab4a5-5107-4201-9bb5-852549bc2a50,Tree,SWQ,Street,-76.31677277,40.02472051
3805,"Maple, Norway",Acer platanoides,No,0,0,1000,FREMONT ST, ,Side,0,UNION ST, , ,2369737.118,255452.1023,40.02563853,-76.31722641,c614d777-700e-48d5-8695-602a24508f49,Tree,SWQ,Street,-76.31722641,40.02563853
8382,Plum,Prunus species,No,0,0,200,SEYMOUR ST, ,Front,0,SEYMOUR ST, , ,2372590.541,255701.4895,40.0261955,-76.30702441,5d366f3b-090d-49c2-857f-f3147b7fb426,Tree,SWQ,Street,-76.30702441,40.0261955
559,"Spruce, Norway",Picea abies,No,0,0,1151,S DUKE ST, ,Front,0,S DUKE ST, , ,2377749.712,255795.2375,40.02621994,-76.28859922,ebbbaaa1-8064-4778-82a6-2bce7398554c,Tree,SEQ,Street,-76.28859922,40.02621994
8883,"Maple, Norway",Acer platanoides,No,0,0,1514,ABBAS AVE, ,Front,0,ABBAS AVE, , ,2382608.206,255832.2845,40.02609962,-76.2712509,5d353a0f-7f76-4e03-b0e9-5676013306d7,Tree,SEA,Street,-76.2712509,40.02609962
8809,Serviceberry,Amelanchier species,No,0,0,313,W LIBERTY ST, ,Median,0,THOMAS M ARMSTRONG BLVD, , ,2370173.528,265155.3461,40.05225211,-76.31510538,5e6e8bfc-3629-42a9-bfd1-ab63249d302e,Tree,NWA,Street,-76.31510538,40.05225211
9144,Boxelder,Acer negundo,No,0,0,1360,PLEASURE RD, ,Front,0,PLEASURE RD, , ,2380276.534,266348.0465,40.05506948,-76.27895013,7d5eab21-f261-449f-acf0-828770faf4f6,Tree,NEA,Street,-76.27895013,40.05506948
